measure,TP,FP,FN,TN,sum
var_hr,2,228,9,1690,1929
var_rr,0,155,11,1484,1650
var_abf,3,153,6,1127,1289
ac_hr,2,98,9,1820,1929
ac_rr,5,81,6.000000001,1558,1650
ac_abf,5,66,4,1214,1289
