measure,TP,FP,FN,TN,sum
var_hr,16,228,99,1690,2033
var_rr,16,155,86,1484,1741
var_abf,11,153,57,1127,1348
ac_hr,15,98,101,1820,2034
ac_rr,7,81,98,1558,1744
ac_abf,6,66,61,1214,1347
