measure,TP,FP,FN,TN,sum
var_hr,21,228,91,1690,2030
var_rr,23,155,77,1484,1739
var_abf,21,153,45,1127,1346
ac_hr,16,98,96,1820,2030
ac_rr,10,81,89,1558,1738
ac_abf,9,66,57,1214,1346
