.,measure,TP,FP,FN,TN,PPV,NPV,Sensitivity,Specificity,
Variance,HR,2,413,9,1505,0.005,0.994,0.182,0.785,
.,RR,0,388,11,1254,0.000,0.991,0.000,0.764,
.,ABF,3,220,6,1068,0.013,0.994,0.333,0.829,
Autocorrelation,HR,2,306,9,1609,0.006,0.994,0.182,0.840,
.,RR,5,237,6,1394,0.021,0.996,0.455,0.855,
.,ABF,5,222,5,1058,0.022,0.995,0.500,0.827,
,,,,,,,,,,
,,,,,,expect this ppv to be very low,,,,
